method,baseline,mean_diff,t_statistic,p_value,p_value_bonferroni,significant_uncorrected,significant_bonferroni,cohens_d,n_runs
chi2,baseline,-0.0014998540101115825,-22.863934888441733,4.2398083741351475e-20,3.391846699308118e-19,True,True,-4.174364297242967,30
l1,baseline,-6.146942664397858e-06,-1.6820428926402795,0.10329970911254657,0.8263976729003726,False,False,-0.3070976116634405,30
mutual_info,baseline,5.685921964565891e-05,1.5436548111097772,0.13351536169506525,1.0,False,False,0.28183152034873377,30
rf_median,baseline,3.7007434154171884e-18,1.6110213657458567e-13,0.9999999999998725,1.0,False,False,2.9413091421392876e-14,30
rf_topk,baseline,5.2249012647350344e-05,1.9064186100489107,0.06654900206902777,0.5323920165522221,False,False,0.34806282559047774,30
rfe,baseline,-0.0014522152044625924,-22.44544012303656,7.046347036183457e-20,5.637077628946765e-19,True,True,-4.097957956172884,30
rfecv,baseline,-7.683678330442737e-06,-0.12641789241377221,0.9002735686709282,1.0,False,False,-0.023080643782428086,30
variance_threshold,baseline,2.3051034991476242e-05,1.1903520952852342,0.24356138552069628,1.0,False,False,0.2173275646537539,30
