method,baseline,mean_diff,t_statistic,p_value,p_value_bonferroni,significant_uncorrected,significant_bonferroni,cohens_d,n_runs
chi2,baseline,-0.0006999459106673285,-20.76442405352218,5.926114226319177e-19,4.740891381055342e-18,True,True,-3.791047815905652,30
l1,baseline,-3.025147984555184e-06,-1.6291659403312602,0.11409422492129395,0.9127537993703516,False,False,-0.2974436451461822,30
mutual_info,baseline,3.3158333864384086e-05,1.7524189629358229,0.09027040493636937,0.722163239490955,False,False,0.31994646539992,30
rf_median,baseline,1.5405562906467551e-06,0.1288498427164163,0.8983659432428481,1.0,False,False,0.023524655128924647,30
rf_topk,baseline,2.9680320168549527e-05,2.0958728190858293,0.04493402788622766,0.3594722230898213,True,False,0.3826522735584175,30
rfe,baseline,-0.0006795068230112111,-20.45139838310611,8.958654541290246e-19,7.166923633032197e-18,True,True,-3.733897408983966,30
rfecv,baseline,-4.426468008578155e-07,-0.0152822348912061,0.987911671100984,1.0,False,False,-0.00279014159300203,30
variance_threshold,baseline,1.4576468095173212e-05,1.4424430486428796,0.15989169816007526,1.0,False,False,0.2633528652194089,30
