method,baseline,mean_diff,t_statistic,p_value,p_value_bonferroni,significant_uncorrected,significant_bonferroni,cohens_d,n_runs
chi2,baseline,-0.05564903991441992,-45.3848069965701,1.7225088628494262e-28,1.378007090279541e-27,True,True,-8.286094186679911,30
l1,baseline,7.5187196086642006e-06,0.9292525620454294,0.36042909018647445,1.0,False,False,0.16965752995058356,30
mutual_info,baseline,-0.08119964653844064,-51.07268806079732,5.846764636743231e-30,4.677411709394585e-29,True,True,-9.324554441107823,30
rf_median,baseline,-0.011754897592183863,-24.54456391797813,5.977705234591411e-21,4.782164187673129e-20,True,True,-4.481203774001335,30
rf_topk,baseline,-0.030321720037142556,-38.8812940418448,1.4239327537794846e-26,1.1391462030235877e-25,True,True,-7.098720603903204,30
rfe,baseline,-0.06941197960093431,-62.147077886476886,2.074820940522432e-32,1.6598567524179457e-31,True,True,-11.346452147151291,30
rfecv,baseline,-0.005317405781786011,-3.977742038532374,0.0004249760212813687,0.0033998081702509494,True,True,-0.7262330141469217,30
variance_threshold,baseline,-0.004385910561842806,-15.32532772991651,1.9287880272588353e-15,1.5430304218070682e-14,True,True,-2.798009232944904,30
