run_id,seed,method,n_features,accuracy,precision,recall,f1,roc_auc,training_time
0,42,baseline,46,0.9356415103038126,0.9367129629629629,0.9985687493830816,0.9666523338588696,0.7098574454906643,4.8689892292022705
0,42,l1,43,0.9355954082338297,0.9366695986296931,0.9985687493830816,0.9666292430069513,0.7099151569305637,0.5069460868835449
1,43,baseline,46,0.9351343875340002,0.9364381278644507,0.9983219820353371,0.9663903685832358,0.7026737699744267,5.255861043930054
1,43,l1,44,0.9351343875340002,0.9364381278644507,0.9983219820353371,0.9663903685832358,0.7027021594439643,0.5116879940032959
2,44,baseline,46,0.9353187958139321,0.9362883449775597,0.9987168097917284,0.9664955223880597,0.7078489423264818,4.614026069641113
2,44,l1,45,0.9353187958139321,0.9362883449775597,0.9987168097917284,0.9664955223880597,0.7078522233479003,0.541083812713623
3,45,baseline,46,0.9354571020238809,0.9367416875057887,0.9983219820353371,0.9665519877675841,0.7151215853287642,3.195626974105835
3,45,variance_threshold,43,0.9354571020238809,0.9366608019261042,0.9984206889744349,0.9665551839464883,0.7116816588623256,2.793084144592285
3,45,chi2,10,0.9341201419943755,0.9341201419943755,1.0,0.9659380735585059,0.6608400734147538,0.04056978225708008
3,45,mutual_info,10,0.9356415103038126,0.9366725303212665,0.9986181028526305,0.9666539270017198,0.6390701163947529,0.09325981140136719
3,45,rfe,10,0.9342584482043244,0.9343695231067245,0.9998519395913533,0.9660022887659737,0.6385835236498442,0.0416717529296875
3,45,rfecv,31,0.9356876123737956,0.9367967773301847,0.9985193959135327,0.9666738335841755,0.6980211261860806,0.18086504936218262
3,45,l1,43,0.9354571020238809,0.9367416875057887,0.9983219820353371,0.9665519877675841,0.7151222760701155,0.28885698318481445
3,45,rf_topk,10,0.9355954082338297,0.9367504746029541,0.9984700424439839,0.966626054134117,0.6842202348672557,0.034718990325927734
3,45,rf_median,23,0.9355032040938638,0.9366637344321497,0.9984700424439839,0.96657987147942,0.7036470590754469,0.09244799613952637
4,46,baseline,46,0.9362408372135909,0.9369936577010324,0.998914223669924,0.9669636672001529,0.7170742075176283,3.034733772277832
4,46,variance_threshold,43,0.936194735143608,0.937031206593203,0.9988155167308261,0.9669374104156713,0.7123222869285695,2.695053815841675
4,46,chi2,10,0.9341201419943755,0.9341201419943755,1.0,0.9659380735585059,0.6583305410114207,0.04155278205871582
4,46,mutual_info,10,0.9363791434235397,0.9370428664012591,0.9990129306090219,0.9670361169501243,0.6341393283327804,0.1095590591430664
4,46,rfe,10,0.9341662440643584,0.9342833425567239,0.9998519395913533,0.9659562294378486,0.6406355780562248,0.04065108299255371
4,46,rfecv,34,0.9362869392835739,0.937037037037037,0.998914223669924,0.9669867660408007,0.7166089068748727,0.2167649269104004
4,46,l1,44,0.9362408372135909,0.9369936577010324,0.998914223669924,0.9669636672001529,0.717071928071169,0.29946112632751465
4,46,rf_topk,10,0.9364252454935227,0.9371671991480298,0.998914223669924,0.9670560691846437,0.6857752317972557,0.03390002250671387
4,46,rf_median,23,0.9363330413535568,0.9370804203898329,0.998914223669924,0.9670098659850458,0.7039676321365755,0.11728501319885254
5,47,baseline,46,0.9355032040938638,0.9371089586133383,0.9979271542789458,0.9665622983340902,0.6949406787873815,3.26983380317688
5,47,variance_threshold,43,0.9354571020238809,0.9368630720770799,0.9981739216266904,0.966547192353644,0.6920230909307802,3.057406187057495
5,47,chi2,10,0.9341201419943755,0.9341201419943755,1.0,0.9659380735585059,0.6437081337349857,0.0469210147857666
5,47,mutual_info,10,0.935410999953898,0.9369411110596303,0.9980258612180436,0.9665192974070976,0.6107692689725409,0.11453080177307129
