,accuracy,accuracy,precision,precision,recall,recall,f1,f1,roc_auc,roc_auc,n_features,n_features,training_time,training_time
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
method,,,,,,,,,,,,,,
baseline,0.9356,0.0004,0.9368,0.0003,0.9984,0.0003,0.9666,0.0002,0.7044,0.0072,46.0,0.0,3.0762,0.264
chi2,0.9341,0.0,0.9341,0.0,1.0,0.0,0.9659,0.0,0.6489,0.0079,10.0,0.0,0.0419,0.0033
l1,0.9356,0.0004,0.9368,0.0003,0.9984,0.0003,0.9666,0.0002,0.7044,0.0072,43.15,1.1472,0.2911,0.016
mutual_info,0.9356,0.0004,0.9367,0.0003,0.9986,0.0002,0.9667,0.0002,0.6232,0.0103,10.0,0.0,0.1035,0.0101
rf_median,0.9356,0.0004,0.9367,0.0003,0.9985,0.0003,0.9666,0.0002,0.6924,0.0075,23.0,0.0,0.1067,0.0102
rf_topk,0.9356,0.0004,0.9367,0.0003,0.9985,0.0003,0.9666,0.0002,0.6737,0.0076,10.0,0.0,0.0338,0.001
rfe,0.9342,0.0001,0.9343,0.0001,0.9999,0.0001,0.9659,0.0001,0.6368,0.0068,10.0,0.0,0.0422,0.0031
rfecv,0.9355,0.0005,0.9366,0.0007,0.9985,0.0004,0.9666,0.0003,0.6998,0.0079,32.9667,4.8045,0.2052,0.0436
variance_threshold,0.9356,0.0004,0.9367,0.0003,0.9985,0.0003,0.9666,0.0002,0.7,0.0071,43.0833,0.2787,2.837,0.2715
