method_1,method_2,mean_diff,t_statistic,p_value,p_value_bonferroni,significant_uncorrected,significant_bonferroni,cohens_d,n_runs
baseline,chi2,0.05564903991441992,45.3848069965701,1.7225088628494262e-28,6.2010319062579346e-27,True,True,8.286094186679911,30
baseline,l1,-7.5187196086642006e-06,-0.9292525620454294,0.36042909018647445,1.0,False,False,-0.16965752995058356,30
baseline,mutual_info,0.08119964653844064,51.07268806079732,5.846764636743231e-30,2.104835269227563e-28,True,True,9.324554441107823,30
baseline,rf_median,0.011754897592183863,24.54456391797813,5.977705234591411e-21,2.1519738844529081e-19,True,True,4.481203774001335,30
baseline,rf_topk,0.030321720037142556,38.8812940418448,1.4239327537794846e-26,5.1261579136061445e-25,True,True,7.098720603903204,30
baseline,rfe,0.06941197960093431,62.147077886476886,2.074820940522432e-32,7.469355385880755e-31,True,True,11.346452147151291,30
baseline,rfecv,0.005317405781786011,3.977742038532374,0.0004249760212813687,0.015299136766129273,True,True,0.7262330141469217,30
baseline,variance_threshold,0.004385910561842806,15.32532772991651,1.9287880272588353e-15,6.943636898131807e-14,True,True,2.798009232944904,30
chi2,l1,-0.05565655863402858,-45.3356954788392,1.7767002129476324e-28,6.3961207666114766e-27,True,True,-8.277127691315068,30
chi2,mutual_info,0.025550606624020755,12.706212677905064,2.2305118265826393e-13,8.029842575697501e-12,True,True,2.319826434715576,30
chi2,rf_median,-0.043894142322236054,-34.801909645482304,3.3195525442625364e-25,1.195038915934513e-23,True,True,-6.353930319029092,30
chi2,rf_topk,-0.02532731987727736,-17.519580502577504,5.745720429248151e-17,2.0684593545293346e-15,True,True,-3.198623146429798,30
chi2,rfe,0.013762939686514394,11.158297899446293,5.189722016678948e-12,1.8682999260044215e-10,True,True,2.0372171542964157,30
chi2,rfecv,-0.050331634132633904,-25.107781703075013,3.1858591363285202e-21,1.1469092890782673e-19,True,True,-4.584032802563221,30
chi2,variance_threshold,-0.05126312935257711,-40.75760585822256,3.717455346928831e-27,1.3382839248943792e-25,True,True,-7.441286706151067,30
l1,mutual_info,0.08120716525804933,51.10956845507795,5.726916508106032e-30,2.0616899429181716e-28,True,True,9.331287849066886,30
l1,rf_median,0.011762416311792527,24.483337884902856,6.406031591118014e-21,2.306171372802485e-19,True,True,4.470025480860706,30
l1,rf_topk,0.03032923875675122,38.85062414122159,1.45628677549734e-26,5.242632391790424e-25,True,True,7.093121071767278,30
l1,rfe,0.06941949832054298,62.16253365027035,2.060019709013031e-32,7.416070952446911e-31,True,True,11.349273970642342,30
l1,rfecv,0.005324924501394675,3.9844964966684793,0.00041725941252824535,0.015021338851016832,True,True,0.727466203841878,30
l1,variance_threshold,0.00439342928145147,15.197348626039865,2.3965180298125462e-15,8.627464907325166e-14,True,True,2.774643552250726,30
mutual_info,rf_median,-0.06944474894625681,-45.48955025291852,1.6125653487695313e-28,5.805235255570313e-27,True,True,-8.305217601429435,30
mutual_info,rf_topk,-0.05087792650129812,-34.99286466578334,2.8425925760217793e-25,1.0233333273678405e-23,True,True,-6.388793776391671,30
mutual_info,rfe,-0.011787666937506361,-6.54141002809828,3.648754196030385e-07,1.3135515105709387e-05,True,True,-1.1942926100933102,30
mutual_info,rfecv,-0.07588224075665465,-46.322708970310934,9.592543256340955e-29,3.4533155722827435e-27,True,True,-8.457330875928736,30
mutual_info,variance_threshold,-0.07681373597659788,-46.98340428692288,6.394965876713233e-29,2.3021877156167638e-27,True,True,-8.577956785444195,30
rf_median,rf_topk,0.018566822444958695,37.8201531988431,3.1294730208209783e-26,1.1266102874955521e-24,True,True,6.904983678435846,30
rf_median,rfe,0.057657082008750436,46.049635400728256,1.1361404629416784e-28,4.0901056665900425e-27,True,True,8.407474691289105,30
rf_median,rfecv,-0.006437491810397851,-4.715836636023115,5.585209355405221e-05,0.0020106753679458795,True,True,-0.8609900343530467,30
rf_median,variance_threshold,-0.0073689870303410565,-13.516924556849261,4.768622394125651e-14,1.7167040618852342e-12,True,True,-2.4678414959606205,30
rf_topk,rfe,0.03909025956379175,27.47483810649106,2.587651608885727e-22,9.315545791988618e-21,True,True,5.01619619824256,30
rf_topk,rfecv,-0.025004314255356545,-18.006965654910566,2.766427317589446e-17,9.959138343322006e-16,True,True,-3.287607093805101,30
rf_topk,variance_threshold,-0.02593580947529975,-32.3655991777325,2.587741510606561e-24,9.315869438183619e-23,True,True,-5.909122918938249,30
rfe,rfecv,-0.06409457381914829,-39.853043089775085,7.04879893288488e-27,2.5375676158385566e-25,True,True,-7.276136895165067,30
rfe,variance_threshold,-0.0650260690390915,-59.65152624871594,6.749594050797654e-32,2.4298538582871554e-30,True,True,-10.89082883867775,30
rfecv,variance_threshold,-0.0009314952199432051,-0.6963961825597037,0.4917252075618005,1.0,False,False,-0.1271439660494785,30
