method,baseline,mean_diff,t_statistic,p_value,p_value_bonferroni,significant_uncorrected,significant_bonferroni,cohens_d,n_runs
chi2,baseline,0.0015414733655775873,33.78908419390949,7.662793439156494e-25,6.130234751325195e-24,True,True,6.169014536815165,30
l1,baseline,1.6451156516272824e-06,0.9999999999999998,0.3255819880161934,1.0,False,False,0.18257418583505533,30
mutual_info,baseline,0.000144770177343471,6.089599596827105,1.2460260939951423e-06,9.968208751961138e-06,True,True,1.1118036884521902,30
rf_median,baseline,4.770835389729111e-05,2.510716241532329,0.01787672671371103,0.14301381370968824,True,False,0.45839197366061535,30
rf_topk,baseline,0.00010857763300759308,5.024400891305557,2.3702790978016894e-05,0.00018962232782413516,True,True,0.9173259020390387,30
rfe,baseline,0.0014394761951764849,32.19190198003246,3.0124380914348535e-24,2.4099504731478828e-23,True,True,5.877410294486334,30
rfecv,baseline,0.00010364228605268903,1.9659384200066683,0.05894475162489497,0.4715580129991598,False,False,0.35892960643457256,30
variance_threshold,baseline,9.377159214292533e-05,4.978802739280616,2.6905843272432884e-05,0.00021524674617946307,True,True,0.909000856557502,30
