run_id,seed,method,n_features,accuracy,precision,recall,f1,roc_auc,training_time
0,42,baseline,46,0.9356415103038126,0.9367129629629629,0.9985687493830816,0.9666523338588696,0.7098574454906643,2.5790340900421143
0,42,variance_threshold,43,0.9356415103038126,0.9366725303212665,0.9986181028526305,0.9666539270017198,0.7038905108647053,2.337280035018921
0,42,chi2,10,0.9341201419943755,0.9341201419943755,1.0,0.9659380735585059,0.6522475791069806,0.03958392143249512
0,42,mutual_info,10,0.9359642247936932,0.9368143313428691,0.9988155167308261,0.9668219276245074,0.6322788510401769,0.09180188179016113
0,42,rfe,10,0.9340740399243926,0.9342772806936629,0.9997532326522555,0.9659069235170704,0.6389615145857981,0.03722786903381348
0,42,rfecv,29,0.9356876123737956,0.9366754617414248,0.9986674563221795,0.9666786098172698,0.707096845874675,0.17853689193725586
0,42,l1,43,0.9355954082338297,0.9366695986296931,0.9985687493830816,0.9666292430069513,0.7099151569305637,0.27828311920166016
0,42,rf_topk,10,0.9359181227237103,0.9367709683391965,0.9988155167308261,0.9667988343763436,0.6770369565272951,0.033883094787597656
0,42,rf_median,23,0.9359181227237103,0.9368518518518518,0.9987168097917284,0.9667956619368401,0.6943801076437507,0.11383509635925293
1,43,baseline,46,0.9351343875340002,0.9364381278644507,0.9983219820353371,0.9663903685832358,0.7026737699744267,3.208224058151245
1,43,variance_threshold,43,0.935364897883915,0.9364528371748588,0.9985687493830816,0.966513805292825,0.6981001988022683,2.919771909713745
1,43,chi2,10,0.9341201419943755,0.9341201419943755,1.0,0.9659380735585059,0.6501954383579309,0.043157100677490234
1,43,mutual_info,10,0.935364897883915,0.9365740740740741,0.9984206889744349,0.9665090057808992,0.6226276920003655,0.10339522361755371
1,43,rfe,10,0.9342123461343415,0.9343264308444403,0.9998519395913533,0.9659792585528668,0.6327520261343372,0.038437843322753906
1,43,rfecv,37,0.9351804896039833,0.9364410702712712,0.998371335504886,0.9664150582839671,0.7014893903164555,0.23090791702270508
1,43,l1,44,0.9351343875340002,0.9364381278644507,0.9983219820353371,0.9663903685832358,0.7027021594439643,0.30184125900268555
1,43,rf_topk,10,0.9351804896039833,0.9364814814814815,0.9983219820353371,0.9664134537289188,0.6692793094852119,0.03597426414489746
1,43,rf_median,23,0.9349960813240514,0.9364292990091675,0.9981739216266904,0.9663162924032489,0.6908583628642528,0.09153008460998535
2,44,baseline,46,0.9353187958139321,0.9362883449775597,0.9987168097917284,0.9664955223880597,0.7078489423264818,3.3407962322235107
2,44,variance_threshold,43,0.9352726937439491,0.9361239592969473,0.9988648702003751,0.9664772455947662,0.7026286991012557,2.879218816757202
2,44,chi2,10,0.9341201419943755,0.9341201419943755,1.0,0.9659380735585059,0.6507831210995995,0.04226088523864746
2,44,mutual_info,10,0.9352726937439491,0.9362046632124352,0.9987661632612773,0.9664740436506042,0.6308856084661127,0.11916899681091309
2,44,rfe,10,0.9341201419943755,0.9341601733597676,0.9999506465304511,0.9659364496674692,0.6337418066851191,0.04241681098937988
2,44,rfecv,36,0.9352265916739662,0.9361613544895221,0.9987661632612773,0.9664509658778863,0.7077381474137365,0.22452974319458008
2,44,l1,45,0.9353187958139321,0.9362883449775597,0.9987168097917284,0.9664955223880597,0.7078522233479003,0.3085458278656006
2,44,rf_topk,10,0.9351804896039833,0.9360373693460364,0.9988648702003751,0.9664310954063604,0.6823574608596594,0.03369402885437012
2,44,rf_median,23,0.9352726937439491,0.9361239592969473,0.9988648702003751,0.9664772455947662,0.696310211664563,0.12018299102783203
