method,cv_accuracy_mean,cv_accuracy_std,jaccard_mean,jaccard_std,n_features_mean,n_features_std
consensus,0.9356495459647522,0.0003389152197348596,0.8605217559996973,0.058576221032606395,32.8,1.16619037896906
baseline,0.9356126617581673,0.00036017904926893585,1.0,0.0,46.0,0.0
chi2,0.9341373687374276,2.109836520371919e-05,0.9272727272727274,0.08907235428302464,10.0,0.0
l1,0.9356126617581673,0.00036017904926893585,0.9422222222222223,0.03610683735393762,43.4,1.3564659966250536
rf_topk,0.9355850013663771,0.0003736105862931863,1.0,0.0,10.0,0.0
