method,baseline,mean_diff,t_statistic,p_value,p_value_bonferroni,significant_uncorrected,significant_bonferroni,cohens_d,n_runs
chi2,baseline,-0.002663050524412299,-52.07412386281667,3.348916280683137e-30,2.6791330245465096e-29,True,True,-9.507390767327582,30
l1,baseline,-7.128416325430376e-06,-2.368056707352324,0.024764059659049414,0.1981124772723953,True,False,-0.43234602535609257,30
mutual_info,baseline,-6.514884439820698e-05,-2.3506927151305277,0.025750286688270927,0.20600229350616742,True,False,-0.42917580861335186,30
rf_median,baseline,-3.909301848829353e-05,-2.6026352489113593,0.014424764584377204,0.11539811667501763,True,False,-0.4751740115956081,30
rf_topk,baseline,-3.981771052548044e-05,-1.9309580883890753,0.06331637634428544,0.5065310107542835,False,False,-0.3525431008692503,30
rfe,baseline,-0.0025357884294351374,-49.82483750835875,1.1886663178217474e-29,9.509330542573979e-29,True,True,-9.096729142452528,30
rfecv,baseline,-9.183151806968493e-05,-0.9544130871624591,0.3477630626837205,1.0,False,False,-0.1742511923390077,30
variance_threshold,baseline,-5.516148061435929e-05,-3.849622760841602,0.0006008735295712303,0.004806988236569843,True,True,-0.7028417413327537,30
