method,n,method_mean,baseline_mean,mean_diff,std_diff,se_diff,t_statistic,p_value,ci_95_lower,ci_95_upper,cohens_d,significant_05
chi2,30,0.9341293624083725,0.9356292164184838,-0.0014998540101115825,0.00035930117817033544,6.559912007402517e-05,-22.863934888441733,4.2398083741351475e-20,-0.0016340192749848012,-0.0013656887452383637,-4.174364297242967,True
rfe,30,0.9341770012140214,0.9356292164184838,-0.0014522152044625924,0.00035437533034595305,6.469978741794117e-05,-22.44544012303656,7.046347036183457e-20,-0.0015845411275294502,-0.0013198892813957347,-4.097957956172884,True
rf_topk,30,0.9356814654311311,0.9356292164184838,5.2249012647350344e-05,0.00015011374041083394,2.7406893938162858e-05,1.9064186100489107,0.06654900206902777,-3.804379233767449e-06,0.00010830240452846813,0.34806282559047774,False
l1,30,0.9356230694758195,0.9356292164184838,-6.146942664397858e-06,2.0016250309150946e-05,3.654450603663909e-06,-1.6820428926402795,0.10329970911254657,-1.3621133364721038e-05,1.3272480359253221e-06,-0.3070976116634405,False
mutual_info,30,0.9356860756381294,0.9356292164184838,5.685921964565891e-05,0.00020174897249002608,3.6834154395425495e-05,1.5436548111097772,0.13351536169506525,-1.8475084766757932e-05,0.00013219352405807576,0.28183152034873377,False
variance_threshold,30,0.9356522674534753,0.9356292164184838,2.3051034991476242e-05,0.00010606585974586855,1.9364887987997125e-05,1.1903520952852342,0.24356138552069628,-1.6554607938155015e-05,6.26566779211075e-05,0.2173275646537539,False
rfecv,30,0.9356215327401535,0.9356292164184838,-7.683678330442737e-06,0.0003329057197396083,6.07799907412921e-05,-0.12641789241377221,0.9002735686709282,-0.00013199271704308462,0.00011662536038219916,-0.023080643782428086,False
rf_median,30,0.9356292164184837,0.9356292164184838,3.7007434154171884e-18,0.00012581960061245197,2.2971411143910252e-05,1.6110213657458567e-13,0.9999999999998725,-4.698181099313907e-05,4.698181099314647e-05,2.9413091421392876e-14,False
