method,feature,frequency,frequency_pct
l1,father.education.complete_codes,5,1.0
l1,father.education.summary_codes,5,1.0
l1,mother.education.complete_codes,5,1.0
l1,mother.education.summary_codes,3,0.6
l1,parents.exatec_codes,5,1.0
l1,father.exatec_codes,5,1.0
l1,mother.exatec_codes,5,1.0
l1,tec.no.tec_codes,5,1.0
l1,foreign_codes,5,1.0
l1,zone_type_codes,5,1.0
l1,first.generation_codes,5,1.0
l1,general.math.eval_codes,5,1.0
l1,school_codes,5,1.0
l1,program_codes,5,1.0
l1,region_codes,5,1.0
l1,admission.test_codes,5,1.0
l1,scholarship.type_codes,5,1.0
l1,school.cost_codes,5,1.0
l1,socioeconomic.level_codes,3,0.6
l1,social.lag_codes,3,0.6
l1,physical.education_codes,5,1.0
l1,cultural.diffusion_codes,5,1.0
l1,student.society_codes,5,1.0
l1,total.life.activities_codes,5,1.0
l1,athletic.sports_codes,5,1.0
l1,art.culture_codes,5,1.0
l1,student.society.leadership_codes,5,1.0
l1,life.work.mentoring_codes,5,1.0
l1,wellness.activities_codes,5,1.0
rf_topk,educational.model,0,0.0
rf_topk,age,5,1.0
rf_topk,PNA,5,1.0
rf_topk,online.test,0,0.0
rf_topk,english.evaluation,0,0.0
rf_topk,admission.rubric,5,1.0
rf_topk,FTE,0,0.0
rf_topk,scholarship.perc,0,0.0
rf_topk,loan.perc,0,0.0
rf_topk,total.scholarship.loan,0,0.0
rf_topk,average.first.period,5,1.0
rf_topk,failed.subject.first.period,0,0.0
rf_topk,dropped.subject.first.period,0,0.0
rf_topk,generation_codes,0,0.0
rf_topk,gender_codes,0,0.0
rf_topk,level_codes,0,0.0
rf_topk,max.degree.parents_codes,0,0.0
rf_topk,father.education.complete_codes,0,0.0
rf_topk,father.education.summary_codes,0,0.0
rf_topk,mother.education.complete_codes,5,1.0
rf_topk,mother.education.summary_codes,0,0.0
rf_topk,parents.exatec_codes,0,0.0
rf_topk,father.exatec_codes,0,0.0
rf_topk,mother.exatec_codes,0,0.0
rf_topk,tec.no.tec_codes,0,0.0
rf_topk,foreign_codes,0,0.0
rf_topk,zone_type_codes,0,0.0
rf_topk,first.generation_codes,0,0.0
rf_topk,general.math.eval_codes,5,1.0
rf_topk,school_codes,0,0.0
rf_topk,program_codes,5,1.0
rf_topk,region_codes,5,1.0
rf_topk,admission.test_codes,5,1.0
rf_topk,scholarship.type_codes,0,0.0
rf_topk,school.cost_codes,5,1.0
rf_topk,socioeconomic.level_codes,0,0.0
rf_topk,social.lag_codes,0,0.0
rf_topk,physical.education_codes,0,0.0
rf_topk,cultural.diffusion_codes,0,0.0
rf_topk,student.society_codes,0,0.0
rf_topk,total.life.activities_codes,0,0.0
rf_topk,athletic.sports_codes,0,0.0
rf_topk,art.culture_codes,0,0.0
rf_topk,student.society.leadership_codes,0,0.0
rf_topk,life.work.mentoring_codes,0,0.0
rf_topk,wellness.activities_codes,0,0.0
